       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.340     Re =     2.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD      CM
-18	-0.2022	0.15118	-0.0454
-17	-0.1719	0.13957	-0.0542
-16	-0.1451	0.12768	-0.0631
-16	-0.2594	0.13863	-0.088
-10	-0.6144	0.01524	-0.1108
-9	-0.5525	0.01257	-0.1002
-8	-0.4788	0.01092	-0.0904
-7	-0.3968	0.00962	-0.0818
-6	-0.2913	0.0088	-0.0777
-5	-0.1808	0.00812	-0.0749
-4	-0.0677	0.00754	-0.0731
-2	0.1536	0.00606	-0.0697
2	0.6388	0.00439	-0.0727
3	0.7667	0.00455	-0.0744
4	0.8944	0.00466	-0.076
5	1.0117	0.00516	-0.0755
6	1.0796	0.00693	-0.0656
7	1.1092	0.00865	-0.0485
8	1.125	0.01133	-0.0317
9	1.1441	0.01568	-0.0195
10	1.1646	0.02087	-0.0096
11	1.1902	0.02627	-0.0016
12	1.2261	0.0317	0.0045
13	1.2699	0.03715	0.0091
14	1.316	0.04292	0.0128
15	1.3556	0.04948	0.0161
19	1.4445	0.09293	0.0112
20	1.4287	0.1084	0.0074
